id,name,column,handle,url,verdict,detail,action
12100196,"Al-Sayed, Mohammed",chesscom,gmalsayed,https://www.chess.com/member/gmalsayed,alive,200,no action
12100196,"Al-Sayed, Mohammed",chesscomPlayer,mohamad-naser-al-sayed,https://www.chess.com/players/mohamad-naser-al-sayed,unknown,rate limited (HTTP 429),"rate-limited or server error - not judged, will be retried"
12100196,"Al-Sayed, Mohammed",chessgames,49491,https://www.chessgames.com/perl/chessplayer?pid=49491,alive,200,no action
4120612,"Alavkin, Arseny",chesscom,Niktlt,https://www.chess.com/member/Niktlt,alive,200,no action
4120612,"Alavkin, Arseny",chesscomPlayer,arseny-alavkin,https://www.chess.com/players/arseny-alavkin,unknown,rate limited (HTTP 429),"rate-limited or server error - not judged, will be retried"
4120612,"Alavkin, Arseny",chessgames,50144,https://www.chessgames.com/perl/chessplayer?pid=50144,alive,200,no action
3518736,"Albornoz Cabrera, Carlos Daniel",chesscom,CarlosAlbornoz,https://www.chess.com/member/CarlosAlbornoz,alive,200,no action
3518736,"Albornoz Cabrera, Carlos Daniel",chesscomPlayer,carlos-daniel-albornoz-cabrera,https://www.chess.com/players/carlos-daniel-albornoz-cabrera,unknown,rate limited (HTTP 429),"rate-limited or server error - not judged, will be retried"
3518736,"Albornoz Cabrera, Carlos Daniel",chessgames,157841,https://www.chessgames.com/perl/chessplayer?pid=157841,alive,200,no action
3518736,"Albornoz Cabrera, Carlos Daniel",facebook,GMCarlosDanielAlbornozCabrera,,unchecked,returns HTTP 400 to all automated requests,cannot be tested from a server - left in place
3518736,"Albornoz Cabrera, Carlos Daniel",instagram,carlosdanielalbornozcabrera,,unchecked,login wall answers 200 for missing profiles,cannot be tested from a server - left in place
2000156,"Alburt, Lev",chesscomPlayer,lev-alburt,https://www.chess.com/players/lev-alburt,unknown,rate limited (HTTP 429),"rate-limited or server error - not judged, will be retried"
2000156,"Alburt, Lev",chessgames,15271,https://www.chessgames.com/perl/chessplayer?pid=15271,alive,200,no action
13500139,"Aleksandrov, Aleksej",chesscom,aleksandrovaleksei,https://www.chess.com/member/aleksandrovaleksei,alive,200,no action
13500139,"Aleksandrov, Aleksej",chesscomPlayer,aleksej-aleksandrov,https://www.chess.com/players/aleksej-aleksandrov,unknown,rate limited (HTTP 429),"rate-limited or server error - not judged, will be retried"
13500139,"Aleksandrov, Aleksej",chessgames,17278,https://www.chessgames.com/perl/chessplayer?pid=17278,alive,200,no action
13500139,"Aleksandrov, Aleksej",lichess,ALEKSANDROV73,https://lichess.org/@/ALEKSANDROV73,unknown,rate limited (HTTP 429),"rate-limited or server error - not judged, will be retried"
4135539,"Alekseenko, Kirill",chesscom,BilodeauA,https://www.chess.com/member/BilodeauA,alive,200,no action
4135539,"Alekseenko, Kirill",chesscomPlayer,kirill-alekseenko,https://www.chess.com/players/kirill-alekseenko,unknown,rate limited (HTTP 429),"rate-limited or server error - not judged, will be retried"
4135539,"Alekseenko, Kirill",chessgames,117648,https://www.chessgames.com/perl/chessplayer?pid=117648,alive,200,no action
4135539,"Alekseenko, Kirill",facebook,kirill.alekseenko.3,,unchecked,returns HTTP 400 to all automated requests,cannot be tested from a server - left in place
4135539,"Alekseenko, Kirill",instagram,kirill.alexx,,unchecked,login wall answers 200 for missing profiles,cannot be tested from a server - left in place
4138147,"Alekseev, Evgeny",chesscom,evgchess5,https://www.chess.com/member/evgchess5,alive,200,no action
4138147,"Alekseev, Evgeny",chesscomPlayer,evgeny-alekseev,https://www.chess.com/players/evgeny-alekseev,unknown,rate limited (HTTP 429),"rate-limited or server error - not judged, will be retried"
