id,name,fed,sex,title,wtit,bday,gmYear,deceased,deathYear,revoked,revokedYear,revokedReason,birthCountry,birthCity,fedHistory,photo,photoSource,bio,bioSource,chesscom,chesscomPlayer,lichess,chessgames,website,x,instagram,youtube,twitch,facebook
14000032,"Annakov, Babakuli",USA,M,GM,,1972,1998,false,,false,,,USA,,TKM|USA,,,,,,babakuli-annakov,,19874,,,,,,
13715658,"Ansat, Aldiyar",KAZ,M,GM,,2008,2026,false,,false,,,KAZ,,KAZ,,,,,,aldiyar-ansat,Chefot,156478,,,,,,
717312,"Antal, Gergely",HUN,M,GM,,1985,2011,false,,false,,,HUN,Budapest,HUN,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Antal_Gergely.jpg/250px-Antal_Gergely.jpg,,,,,gergely-antal,,50407,,,,,,
901008,"Antic, Dejan",SRB,M,GM,,1968,1999,false,,false,,,SRB,Belgrade,SRB,,,,,GMAntic,dejan-antic,,28784,,,,,,
4107012,"Antipov, Mikhail Al.",USA,M,GM,,1997,2013,false,,false,,,RUS,Moscow,RUS|FID|USA,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Mikhail_Antipov_2012_%28cropped%29.jpg/250px-Mikhail_Antipov_2012_%28cropped%29.jpg,,,,Antipov_Mikhail_Al,mikhail-al-antipov,,121886,,,,,,
2285525,"Anton Guijarro, David",ESP,M,GM,,1995,2013,false,,false,,,ESP,Murcia,ESP,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/DavidAnton23.jpg/250px-DavidAnton23.jpg,,,,tptagain,david-anton-guijarro,,131813,,,,,,
1111078,"Antoniewski, Rafal",POL,M,GM,,1980,2010,false,,false,,,POL,Bielsko-Biała,POL,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Rafa%C5%82_Antoniewski_2014.jpg/250px-Rafa%C5%82_Antoniewski_2014.jpg,,,,GMBellicose,rafal-antoniewski,,55107,,,,,,
5200032,"Antonio, Rogelio Jr",PHI,M,GM,,1962,1993,false,,false,,,PHI,,PHI,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Rogelio_Antonio_2009.jpg/250px-Rogelio_Antonio_2009.jpg,,,,gmjoey1,rogelio-antonio-jr,GMJOEY93,14444,,,,,,
W8690217,"Antoshin, Vladimir",RUS,M,GM,,1929,1964,true,1994,false,,,RUS,Moscow,RUS,,,,,,,,,,,,,,
1900013,"Antunes, Antonio",POR,M,GM,,1962,1994,false,,false,,,POR,Lisbon,POR,,,,,,antonio-antunes,,16998,,,,,,
5024366,"Anurag, Mhamal",IND,M,GM,,1995,2017,false,,false,,,IND,Panaji,IND,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/MhamalAnurag2017.jpg/250px-MhamalAnurag2017.jpg,,,,Anurag328,anurag-mhamal,,117406,,,,,,
600164,"Apicella, Manuel",FRA,M,GM,,1970,1995,false,,false,,,FRA,Longjumeau,FRA,,,,,Hyxiom,manuel-apicella,,27273,,,,,,
4600924,"Appel, Ralf",GER,M,GM,,1971,2008,false,,false,,,GER,Pirmasens,GER,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/RalfAppel10.jpg/250px-RalfAppel10.jpg,,,,,ralf-appel,,26324,,,,,,
13600168,"Arakhamia-Grant, Ketevan",SCO,F,GM,WGM,1968,2009,false,,false,,,SCO,Ochamchire,GEO|SCO,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/KetevanArakhamiaGrant23.jpg/250px-KetevanArakhamiaGrant23.jpg,,,,KetiGrant,ketevan-arakhamia-grant,,12540,,,,,,
5072786,"Aravindh, Chithambaram VR.",IND,M,GM,,1999,2015,false,,false,,,IND,Thirunagar,IND,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/AravindhChitambaram23a.jpg/250px-AravindhChitambaram23a.jpg,,,,Vaathi_Coming,aravindh-chithambaram,hitter1999,131329,,,,,,
4100620,"Arbakov, Valentin",RUS,M,GM,,1952,1994,true,2003,false,,,RUS,,RUS,,,,,,,,,,,,,,
7100027,Ardiansyah,INA,M,GM,,1951,1986,true,2017,false,,,INA,Banjarmasin,INA,,,,,,,,,,,,,,
4403177,"Arenas, David",COL,M,GM,,1991,2017,false,,false,,,COL,Envigado,COL,,,,,davidarenas1224,david-arenas,,118551,,mi_arenas,,,,
